#k [h/Mpc]	B(k,z=0.000000)
0.008731	0.994564
0.015004	0.992093
0.021372	0.989953
0.027791	0.988578
0.034296	0.986701
0.040449	0.986290
0.046731	0.981746
0.053055	0.984301
0.059424	0.980100
0.065738	0.984013
0.071945	0.975052
0.078258	0.971352
0.084683	0.988015
0.090952	0.993042
0.097191	1.010675
0.103462	1.032316
0.109742	1.024105
0.116041	1.017158
0.122353	1.017767
0.128669	1.016987
0.134938	1.019359
0.141183	1.039646
0.147502	1.064816
0.153777	1.064793
0.160055	1.095542
0.166389	1.130586
0.172710	1.133495
0.178968	1.153335
0.185226	1.138338
0.191473	1.140638
0.197780	1.142577
0.204086	1.165004
0.210386	1.173469
0.216683	1.230175
0.222963	1.259203
0.229255	1.294725
0.235507	1.314447
0.241784	1.312693
0.248079	1.310704
0.254343	1.333044
0.260627	1.328550
0.266920	1.360547
0.273236	1.371244
0.279547	1.413888
0.285831	1.450689
0.292082	1.484560
0.298339	1.492697
0.304633	1.528150
0.310923	1.544454
0.317212	1.540589
0.323514	1.575979
0.329812	1.576810
0.336113	1.603733
0.342365	1.647737
0.348643	1.686740
0.354937	1.719090
0.361187	1.749844
0.367472	1.766492
0.373760	1.789525
0.380061	1.809515
0.386350	1.843475
0.392610	1.862298
0.398922	1.891404
0.405203	1.920962
0.411488	1.948332
0.417778	1.985014
0.424036	2.010983
0.430339	2.038107
0.436632	2.055037
0.442896	2.110886
0.449160	2.136203
0.455438	2.140731
0.461760	2.203571
0.468061	2.216110
0.474345	2.254600
0.480632	2.278669
0.486899	2.318141
0.493166	2.333501
0.499447	2.387156
0.505713	2.405675
0.511989	2.439195
0.518309	2.486033
0.524606	2.518257
0.530873	2.564689
0.537154	2.588043
0.543455	2.631382
0.549740	2.654335
0.555991	2.695602
0.562282	2.736211
0.568598	2.774558
0.574878	2.794981
0.581152	2.842497
0.587437	2.870934
0.593715	2.900107
0.599994	2.946668
0.606265	2.967847
0.612544	3.018652
0.618845	3.082658
0.625128	3.105537
0.631400	3.154587
0.637698	3.177926
0.643983	3.218416
0.650266	3.242117
0.656556	3.291662
0.662834	3.337295
0.669116	3.390053
0.675405	3.433112
0.681681	3.451910
0.687957	3.492517
0.694232	3.530716
0.700515	3.576795
0.706810	3.602487
0.713100	3.654413
0.719390	3.715109
0.725681	3.741102
0.731963	3.779630
0.738249	3.826157
0.744524	3.868282
0.750785	3.907248
0.757074	3.986770
0.763362	3.986285
0.769644	4.038273
0.775937	4.076096
0.782231	4.121895
0.788529	4.174256
0.794788	4.227821
0.801047	4.255004
0.807334	4.322512
0.813621	4.336268
0.819913	4.394164
0.826193	4.430493
0.832488	4.490883
0.838794	4.537065
0.845062	4.574594
0.851326	4.627488
0.857618	4.662598
0.863904	4.705842
0.870182	4.754139
0.876462	4.801500
0.882749	4.863123
0.889031	4.892577
0.895307	4.942811
0.901594	4.988054
0.907882	5.019163
0.914173	5.059365
0.920461	5.125913
0.926742	5.170960
0.933031	5.205481
0.939325	5.273169
0.945596	5.314807
0.951864	5.359608
0.958140	5.404580
0.964433	5.452349
0.970734	5.500398
0.977006	5.550412
0.983281	5.602747
0.989555	5.653912
0.995844	5.694940
1.002130	5.729533
1.008400	5.780534
1.014690	5.822296
1.020990	5.876992
1.027270	5.930848
1.033560	5.996534
1.039850	6.046266
1.046130	6.075215
1.052400	6.118905
1.058680	6.171223
1.064960	6.223163
1.071260	6.259687
1.077540	6.318946
1.083820	6.360617
1.090110	6.412284
1.096390	6.463828
1.102680	6.528928
1.108960	6.561480
1.115220	6.613439
1.121500	6.655144
1.127790	6.714513
1.134090	6.747777
1.140360	6.809874
1.146640	6.844289
1.152940	6.911352
1.159230	6.957821
1.165510	7.010234
1.171790	7.068636
1.178090	7.104886
1.184370	7.154047
1.190630	7.221235
1.196910	7.251822
1.203200	7.308152
1.209490	7.362521
1.215760	7.400976
1.222050	7.445885
1.228340	7.509069
1.234630	7.551151
1.240900	7.603604
1.247170	7.646832
1.253460	7.705329
1.259750	7.746146
1.266030	7.816003
1.272320	7.849352
1.278600	7.932329
1.284890	7.963702
1.291170	8.016074
1.297460	8.039414
1.303740	8.105738
1.310020	8.158351
1.316300	8.207403
1.322590	8.253242
1.328860	8.298434
1.335140	8.365737
1.341440	8.401654
1.347730	8.453657
1.354000	8.494373
1.360280	8.549271
1.366560	8.623478
1.372850	8.646473
1.379130	8.704470
1.385410	8.769183
1.391700	8.802295
1.401140	8.873295
1.410550	8.941971
1.416840	8.993648
1.423120	9.046761
1.429400	9.083721
1.435690	9.156831
1.441980	9.197361
1.448250	9.246973
1.454530	9.278824
1.463980	9.371011
1.473390	9.432433
1.479670	9.469718
1.485960	9.516697
1.492230	9.585754
1.498500	9.646890
1.504780	9.668530
1.514230	9.760901
1.523650	9.828192
1.529940	9.884329
1.536230	9.922770
1.542510	9.981555
1.551950	10.063750
1.561360	10.122900
1.567630	10.165863
1.573910	10.218058
1.580200	10.262904
1.589630	10.333402
1.599050	10.421892
1.605340	10.475010
1.611620	10.503074
1.621050	10.580662
1.630460	10.642103
1.636750	10.702324
1.643030	10.746773
1.652470	10.831347
1.661880	10.892975
1.668170	10.937212
1.677600	11.012214
1.687010	11.084044
1.693310	11.143307
1.702750	11.208066
1.712150	11.282548
1.718440	11.314920
1.727870	11.391232
1.737290	11.459912
1.743570	11.503845
1.752990	11.583925
1.762410	11.662955
1.768700	11.705925
1.778140	11.780979
1.787550	11.838430
1.796970	11.913221
1.806390	11.982788
1.812670	12.041165
1.822100	12.105481
1.831530	12.170442
1.840970	12.237748
1.850380	12.321887
1.856670	12.350044
1.866100	12.434201
